index,主題內容
1,"-0.474*""國王"" + -0.302*""星星"" + -0.291*""說道"" + -0.287*""命令"" + -0.246*""狐狸"" + -0.218*""回答"" + -0.201*""星球"" + -0.137*""地方"" + -0.121*""馴服"" + -0.102*""朋友"""
2,"0.630*""狐狸"" + -0.378*""國王"" + 0.319*""馴服"" + -0.218*""命令"" + 0.160*""玫瑰"" + 0.139*""朋友"" + 0.117*""時間"" + 0.108*""世界"" + 0.094*""東西"" + 0.084*""感到"""
3,"-0.640*""星星"" + 0.305*""國王"" + 0.278*""狐狸"" + 0.165*""命令"" + -0.156*""好像"" + 0.150*""馴服"" + -0.109*""小傢伙"" + -0.107*""嚴肅"" + -0.080*""正好"" + -0.077*""看著"""
4,"-0.657*""地理學家"" + -0.448*""探察"" + 0.191*""星星"" + -0.149*""短暫"" + -0.119*""海洋"" + -0.119*""老先生"" + -0.116*""星球"" + -0.096*""沙漠"" + -0.090*""熄滅"" + -0.090*""山脈"""
5,"-0.428*""猴麵包樹"" + -0.418*""星球"" + 0.245*""星星"" + 0.175*""地理學家"" + -0.154*""地方"" + 0.145*""國王"" + -0.140*""花兒"" + 0.126*""狐狸"" + -0.121*""說道"" + 0.120*""探察"""
6,"0.472*""點燈"" + 0.458*""路燈"" + 0.233*""命令"" + 0.233*""行星"" + 0.202*""休息"" + 0.161*""早上好"" + -0.135*""國王"" + 0.131*""點著"" + 0.123*""這顆"" + 0.117*""熄滅"""
7,"0.318*""猴麵包樹"" + -0.247*""說道"" + -0.245*""地方"" + -0.241*""沙漠"" + 0.240*""星球"" + 0.219*""星星"" + -0.127*""回答"" + -0.118*""看著"" + -0.108*""尋找"" + -0.108*""小傢伙"""
8,"-0.406*""花兒"" + 0.245*""朋友"" + 0.196*""房子"" + 0.188*""小行星"" + -0.185*""老虎"" + -0.168*""說道"" + -0.135*""朵花"" + 0.125*""漂亮"" + 0.123*""B612"" + 0.107*""小羊"""
9,"0.285*""猴麵包樹"" + -0.207*""花兒"" + -0.178*""朋友"" + 0.176*""回答"" + -0.174*""房子"" + -0.172*""小行星"" + -0.149*""發現"" + 0.139*""轆轤"" + -0.127*""B612"" + 0.115*""尋找"""
10,"-0.193*""沙漠"" + -0.187*""小東西"" + -0.152*""實業家"" + -0.149*""佔有"" + 0.131*""朋友"" + -0.129*""等於"" + 0.122*""緣故"" + 0.120*""好像"" + -0.119*""尋找"" + -0.115*""火山"""
11,"0.293*""沙漠"" + -0.213*""地方"" + 0.197*""房子"" + 0.195*""寶貝"" + 0.170*""看著"" + 0.148*""脆弱"" + -0.131*""肚皮"" + 0.128*""看不見"" + -0.117*""轆轤"" + 0.099*""水井"""
